age,year,unit,season,area,iter,data
all,1989,unique,1,unique,1,798
all,1990,unique,1,unique,1,1487
all,1991,unique,1,unique,1,1155
all,1992,unique,1,unique,1,1151
all,1993,unique,1,unique,1,747
all,1994,unique,1,unique,1,294
all,1995,unique,1,unique,1,544
all,1996,unique,1,unique,1,96
all,1997,unique,1,unique,1,509
all,1998,unique,1,unique,1,798
all,1999,unique,1,unique,1,1116
all,2000,unique,1,unique,1,1360
all,2001,unique,1,unique,1,610
all,2002,unique,1,unique,1,1471
all,2003,unique,1,unique,1,1275
all,2004,unique,1,unique,1,1565
all,2005,unique,1,unique,1,1528
all,2006,unique,1,unique,1,1536
all,2007,unique,1,unique,1,1523
all,2008,unique,1,unique,1,673
all,2009,unique,1,unique,1,570
all,2010,unique,1,unique,1,92
all,2011,unique,1,unique,1,1066
all,2012,unique,1,unique,1,821
all,2013,unique,1,unique,1,508
all,2014,unique,1,unique,1,1081
all,2015,unique,1,unique,1,811
all,2016,unique,1,unique,1,1164
all,2017,unique,1,unique,1,653
all,2018,unique,1,unique,1,169
all,2019,unique,1,unique,1,154
all,2020,unique,1,unique,1,585
all,2021,unique,1,unique,1,365
all,2022,unique,1,unique,1,243
all,2023,unique,1,unique,1,462
all,2024,unique,1,unique,1,462
all,1989,unique,2,unique,1,2253
all,1990,unique,2,unique,1,1474
all,1991,unique,2,unique,1,2469
all,1992,unique,2,unique,1,1881
all,1993,unique,2,unique,1,1460
all,1994,unique,2,unique,1,2195
all,1995,unique,2,unique,1,136
all,1996,unique,2,unique,1,1427
all,1997,unique,2,unique,1,1065
all,1998,unique,2,unique,1,1091
all,1999,unique,2,unique,1,1566
all,2000,unique,2,unique,1,1533
all,2001,unique,2,unique,1,2207
all,2002,unique,2,unique,1,2349
all,2003,unique,2,unique,1,2243
all,2004,unique,2,unique,1,2641
all,2005,unique,2,unique,1,2360
all,2006,unique,2,unique,1,2440
all,2007,unique,2,unique,1,2307
all,2008,unique,2,unique,1,1507
all,2009,unique,2,unique,1,1883
all,2010,unique,2,unique,1,2185
all,2011,unique,2,unique,1,2080
all,2012,unique,2,unique,1,1870
all,2013,unique,2,unique,1,2575
all,2014,unique,2,unique,1,2514
all,2015,unique,2,unique,1,2267
all,2016,unique,2,unique,1,1968
all,2017,unique,2,unique,1,1632
all,2018,unique,2,unique,1,1999
all,2019,unique,2,unique,1,1099
all,2020,unique,2,unique,1,1371
all,2021,unique,2,unique,1,1673
all,2022,unique,2,unique,1,1284
all,2023,unique,2,unique,1,1688
all,2024,unique,2,unique,1,1688
all,1989,unique,3,unique,1,1428
all,1990,unique,3,unique,1,1373
all,1991,unique,3,unique,1,827
all,1992,unique,3,unique,1,1107
all,1993,unique,3,unique,1,331
all,1994,unique,3,unique,1,251
all,1995,unique,3,unique,1,167
all,1996,unique,3,unique,1,1316
all,1997,unique,3,unique,1,2086
all,1998,unique,3,unique,1,1642
all,1999,unique,3,unique,1,2050
all,2000,unique,3,unique,1,1578
all,2001,unique,3,unique,1,2424
all,2002,unique,3,unique,1,2531
all,2003,unique,3,unique,1,2067
all,2004,unique,3,unique,1,2198
all,2005,unique,3,unique,1,1409
all,2006,unique,3,unique,1,1262
all,2007,unique,3,unique,1,1964
all,2008,unique,3,unique,1,1731
all,2009,unique,3,unique,1,1521
all,2010,unique,3,unique,1,1387
all,2011,unique,3,unique,1,2160
all,2012,unique,3,unique,1,1300
all,2013,unique,3,unique,1,2437
all,2014,unique,3,unique,1,2446
all,2015,unique,3,unique,1,2120
all,2016,unique,3,unique,1,2179
all,2017,unique,3,unique,1,1120
all,2018,unique,3,unique,1,1197
all,2019,unique,3,unique,1,1563
all,2020,unique,3,unique,1,1566
all,2021,unique,3,unique,1,1507
all,2022,unique,3,unique,1,1408
all,2023,unique,3,unique,1,1342
all,2024,unique,3,unique,1,1342
all,1989,unique,4,unique,1,209
all,1990,unique,4,unique,1,1040
all,1991,unique,4,unique,1,489
all,1992,unique,4,unique,1,10
all,1993,unique,4,unique,1,48
all,1994,unique,4,unique,1,77
all,1995,unique,4,unique,1,114
all,1996,unique,4,unique,1,599
all,1997,unique,4,unique,1,487
all,1998,unique,4,unique,1,1058
all,1999,unique,4,unique,1,1046
all,2000,unique,4,unique,1,1029
all,2001,unique,4,unique,1,1378
all,2002,unique,4,unique,1,1033
all,2003,unique,4,unique,1,763
all,2004,unique,4,unique,1,727
all,2005,unique,4,unique,1,190
all,2006,unique,4,unique,1,34
all,2007,unique,4,unique,1,543
all,2008,unique,4,unique,1,622
all,2009,unique,4,unique,1,390
all,2010,unique,4,unique,1,550
all,2011,unique,4,unique,1,657
all,2012,unique,4,unique,1,9
all,2013,unique,4,unique,1,390
all,2014,unique,4,unique,1,407
all,2015,unique,4,unique,1,839
all,2016,unique,4,unique,1,736
all,2017,unique,4,unique,1,162
all,2018,unique,4,unique,1,303
all,2019,unique,4,unique,1,667
all,2020,unique,4,unique,1,586
all,2021,unique,4,unique,1,362
all,2022,unique,4,unique,1,428
all,2023,unique,4,unique,1,466
all,2024,unique,4,unique,1,466
