year,ssb,rec
1989,15479.807865616,6587650
1990,10607.482068229001,9827390
1991,16791.322291456,8125070
1992,15098.84261552,5667520
1993,12180.731130284,6671370
1994,12445.145369259999,7168470
1995,14314.522433427,11475800
1996,19079.881905545,9492150
1997,18906.2172919,11414100
1998,17565.17351653,8263350
1999,13733.42772447,7963360
2000,14123.826707614,11976400
2001,23959.8501824,8495700
2002,14804.459046195998,4910000
2003,8862.806807857,6282940
2004,10506.676270771,5777520
2005,8737.648452951,10916600
2006,18020.919354306,11904600
2007,21686.546865648,6130410
2008,15259.647329540001,6539060
2009,13332.0847879,3478680
2010,7076.1274195999995,6232750
2011,9163.521230084001,6432530
2012,10393.449937373398,6297420
2013,12085.574328784,10335800
2014,15843.283936338,6979390
2015,10428.497238984,10932100
2016,14594.431609734998,6285870
2017,10410.004633335,9747510
2018,16459.959121587,8775480
2019,16137.115224277999,11295200
2020,19216.129274712,9317410
2021,18174.254158321,6832240
2022,12825.814494164,7059840
2023,10633.201073701,7313180
2024,10815.812884945599,8667340
