year,ssb,rec,rec_pred_om,rec_pred_ss3,resid_om,resid_ss3,ratio_om_ss3,diff_percent
1989,15479.807865616,6587650,7950953.955922595,8234207.921151142,-0.1880952319164333,-0.2231004905586289,0.9656003384975312,-3.439966150246878
1990,10607.482068229001,9827390,7571068.87325403,7981137.328278928,0.2608391291083656,0.2080924615235027,0.948620298316139,-5.137970168386092
1991,16791.322291456,8125070,8019376.593554057,8278846.554747682,0.013093656183180258,-0.018749310147859077,0.9686586821632989,-3.134131783670109
1992,15098.84261552,5667520,7929099.670499446,8219890.637506057,-0.33578786229963065,-0.3718052722538019,0.9646234992860151,-3.5376500713984886
1993,12180.731130284,6671370,7722474.798381994,8083078.594800045,-0.14630964626604026,-0.1919475780357054,0.9553878151512677,-4.461218484873235
1994,12445.145369259999,7168470,7744661.246992357,8097895.4862169195,-0.07731149190904318,-0.1219119686843122,0.9563795013376268,-4.362049866237311
1995,14314.522433427,11475800,7880872.87295471,8188193.239507461,0.3758018018774063,0.3375472024408843,0.9624678659182161,-3.753213408178391
1996,19079.881905545,9492150,8118282.856690944,8342876.617196627,0.15634648027034004,0.12905706620078128,0.9730795778469572,-2.692042215304279
1997,18906.2172919,11414100,8111540.435485352,8338530.184543979,0.3415616404329178,0.3139624692727452,0.9727782062263961,-2.7221793773603906
1998,17565.17351653,8263350,8055423.372920766,8302250.140449907,0.02548449880829118,-0.004696505001000162,0.9702698951063204,-2.973010489367951
1999,13733.42772447,7963360,7842021.104102415,8162554.191606904,0.015354426315663972,-0.02470611232931219,0.9607312760221457,-3.926872397785432
2000,14123.826707614,11976400,7868433.694941893,8179994.455801535,0.4200790263151237,0.3812465738536037,0.9619118616102884,-3.808813838971156
2001,23959.8501824,8495700,8270716.878416054,8440428.159125924,0.02683896365301841,0.006527116066269656,0.979893048372626,-2.010695162737398
2002,14804.459046195998,4910000,7911529.375877288,8208358.857163097,-0.47704716842397055,-0.5138790660808823,0.9638381451821179,-3.616185481788211
2003,8862.806807857,6282940,7351396.513592825,7830619.297006179,-0.15705227322905913,-0.22020357592686146,0.9388014197553224,-6.119858024467758
2004,10506.676270771,5777520,7560058.360265659,7973667.211977207,-0.26890438490820756,-0.3221699890841734,0.9481281522396284,-5.187184776037156
2005,8737.648452951,10916600,7332867.38347699,7817779.146182221,0.3979179424695065,0.33388404895363166,0.937973207782157,-6.2026792217843045
2006,18020.919354306,11904600,8075342.026400361,8315149.133299281,0.3881096556240511,0.3588458321083774,0.9711602157634701,-2.8839784236529877
2007,21686.546865648,6130410,8207554.68863437,8400172.016230574,-0.29179340173497437,-0.3149905518746259,0.9770698353290821,-2.2930164670917894
2008,15259.647329540001,6539060,7938442.688127731,8226015.026687032,-0.19392369677357024,-0.229508272285317,0.9650411119325273,-3.495888806747273
2009,13332.0847879,3478680,7813456.567944291,8143644.688070066,-0.8091945367789481,-0.8505849186961285,0.9594545031404084,-4.0545496859591665
2010,7076.1274195999995,6232750,7037915.700256752,7610289.314934078,-0.12149441310394771,-0.19968354095651186,0.9247895065494913,-7.52104934505087
2011,9163.521230084001,6432530,7394201.966590719,7860195.790238146,-0.13932824609172023,-0.20044358685093933,0.940714730767119,-5.928526923288102
2012,10393.449937373398,6297420,7547475.870036825,7965121.082389544,-0.18107315980330974,-0.23493211934287572,0.9475657421861282,-5.243425781387183
2013,12085.574328784,10335800,7714285.08457576,8077601.439832471,0.292539781127946,0.2465186200498426,0.95502175268699,-4.497824731301007
2014,15843.283936338,6979390,7970930.053280651,8247269.440165829,-0.13283965985226054,-0.1669206482068457,0.9664932267715965,-3.350677322840345
2015,10428.497238984,10932100,7551395.26851846,7967784.2573379455,0.3699710655168911,0.3162969717025632,0.9477409308069541,-5.22590691930459
2016,14594.431609734998,6285870,7898610.497721412,8199867.910443617,-0.2283826003553937,-0.26581378837459546,0.9632606993170568,-3.673930068294315
2017,10410.004633335,9747510,7549329.990967675,7966381.053645039,0.2555530513733082,0.20178154915837254,0.947648617374819,-5.235138262518099
2018,16459.959121587,8775480,8003012.12048136,8268196.10837934,0.0921434828345955,0.05954510821017678,0.9679272256702727,-3.2072774329727296
2019,16137.115224277999,11295200,7986490.040719701,8257426.744558956,0.34662648748045477,0.3132648498522279,0.9671887244997017,-3.2811275500298223
2020,19216.129274712,9317410,8123494.9355780855,8346234.685811495,0.13712422072235242,0.11007419175159683,0.9733125464813415,-2.6687453518658537
2021,18174.254158321,6832240,8081840.266393522,8319352.171869484,-0.1679670176674879,-0.1969318031686793,0.9714506730128496,-2.854932698715043
2022,12825.814494164,7059840,7775203.020074431,8118242.164420135,-0.09651718127224207,-0.13969126016483635,0.9577446524262181,-4.225534757378192
2023,10633.201073701,7313180,7573849.668882524,7983022.741767053,-0.03502328128277732,-0.08763892974660159,0.9487445938561916,-5.125540614380837
2024,10815.812884945599,8667340,7593270.534473213,7996176.566038069,0.13229953958897234,0.08059844045316211,0.949612664473155,-5.038733552684506
