year,ssb,rec_obs,rec_pred_om,rec_pred_ss3,rec_resid_om,rec_resid_ss3,rec_mult_om,rec_resid_std,resid_percentile,residual_class,sigmaR_lower_95,sigmaR_upper_95,sigmaR_lower_80,sigmaR_upper_80,below_sigmaR_95,above_sigmaR_95,inside_sigmaR_95
1989,15479.807865616,6587650,7950953.955922595,8234207.921151142,-0.1880952319164333,-0.2231004905586289,0.828535800423409,-0.671802938751137,0.2,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1990,10607.482068229001,9827390,7571068.87325403,7981137.328278928,0.2608391291083656,0.2080924615235027,1.2980188351894113,0.9317011639538345,0.7714285714285715,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1991,16791.322291456,8125070,8019376.593554057,8278846.554747682,0.013093656183180258,-0.018749310147859077,1.0131797534649896,0.04680368950951676,0.5142857142857142,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1992,15098.84261552,5667520,7929099.670499446,8219890.637506057,-0.33578786229963065,-0.3718052722538019,0.7147747203993718,-1.1993315917554095,0.05714285714285714,lower 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1993,12180.731130284,6671370,7722474.798381994,8083078.594800045,-0.14630964626604026,-0.1919475780357054,0.8638901614023763,-0.5225531511621803,0.3142857142857143,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1994,12445.145369259999,7168470,7744661.246992357,8097895.4862169195,-0.07731149190904318,-0.1219119686843122,0.9256014913220226,-0.2761054893303783,0.45714285714285713,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1995,14314.522433427,11475800,7880872.87295471,8188193.239507461,0.3758018018774063,0.3375472024408843,1.456158497288065,1.3423249286892383,0.9142857142857143,upper 10%,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1996,19079.881905545,9492150,8118282.856690944,8342876.617196627,0.15634648027034004,0.12905706620078128,1.1692312484747613,0.558474238904477,0.7142857142857143,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1997,18906.2172919,11414100,8111540.435485352,8338530.184543979,0.3415616404329178,0.3139624692727452,1.4071433275567502,1.220025893195083,0.8285714285714286,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
1998,17565.17351653,8263350,8055423.372920766,8302250.140449907,0.02548449880829118,-0.004696505001000162,1.025812004838655,0.09106131091319332,0.5714285714285714,central,-0.71445,0.60555,-0.47685000000000005,0.36795000000000005,FALSE,FALSE,TRUE
